project_id,developer_id,district_id,project_name_th,project_name_en,unittype,province_id,lat,lon,project_land_rai,total_unit,starting_price,project_status,created_at,Unit,15H1,15H2,16H1,16H2,17H1,17H2,Bedroom,Bathroom,Price2020
4570,2895,1014,อิสสระ @42 สุขุมวิท,Issara @ 42 Sukhumvit,3,10,13.79141,100.5488,3.6925,620,2900000,U,2014,31,135243,137731,144022,145677,151650,152477,1,1,425000
2564,11572,1021,เดอะ ลิ้งค์ แอดวานซ์ สุขุมวิท 50,The Link Advance,3,10,13.65848,100.4285,16.4,2048,990000,A,2011,24,34798,34289,33352,33289,34637,38898,1,1,820000
2560,6032,1030,เอส คอนโดมิเนียม สุขุมวิท 50,S Condo Sukhumvit 50,3,10,13.82571,100.5453,7.5,1031,750000,A,2011,31,30599,30343,31210,33669,36639,34938,1,1,980000
1035,818,1022,เอ สเปซ มี สุขุมวิท 77,A Space Me Sukhumvit 77,3,10,13.70896,100.4517,26.4225,735,1590000,U,2011,31,46512,42544,48656,46445,47015,44430,1,1,990000
4943,11066,1035,DLV Thonglor,DLV THONGLOR,3,10,13.67371,100.4586,9.525,681,1950000,A,2014,23,,,60588,55539,53325,53619,1,1,999900
2857,12971,1040,ศุภาลัย ปาร์ค ศรีนครินทร์,Supalai Park Srinakarin,3,10,13.70822,100.4218,7,791,870000,U,2011,26,44337,44376,45006,45532,46927,49456,1,1,1020000
5320,135559,1036,เดอะ เลค สาทร,The Lake @ Metro Park,3,10,13.91296,100.5906,11.0725,1070,1450000,A,2015,28,,,46406,42489,38899,19554,1,1,1040000
2047,4159,1047,ศุภาลัย คาซา ริวา,SUPALAI CASA RIVA,3,10,13.65477,100.6478,11.06,1100,900000,A,2010,18.9,30713,34755,35652,42063,40108,43744,1,1,1050000
2590,6032,1047,เลอริช แอท พระราม 3,LE RICH @RAMA 3,3,10,13.67543,100.6039,14.8825,1745,900000,A,2011,31,36034,38392,38747,39384,39480,41147,1,1,1100000
2859,16744,1027,ศุภาลัย ริเวอร์ เพลส (เจริญนคร-ริมแม่น้ำเจ้าพระยา),,3,10,13.78658,100.6762,3.055,242,1390000,A,2011,27.5,,,39285,48333,47167,,1,1,1150000
3809,779,1035,ดิ เอสเคป สุขุมวิท 101/1,The Escape Sukhumvit 101/1,3,10,13.67906,100.4681,4.73,616,1550000,A,2013,30,46655,58526,53151,50268,56712,51721,1,1,1150000
4704,6032,1005,เดอะ เทรเชอร์ สีลม,The Treasure Silom,3,10,13.87805,100.5951,9.0575,1490,999000,A,2014,31,96705,98575,95770,91940,91907,95989,1,1,1150000
2100,10724,1011,ทรี คอนโด ลาดพร้าว 27 (Tree Condo Ladprao 27),TREE CONDO LADPRAO 27,3,10,13.72208,100.7187,13.03,1179,990000,A,2011,28,44226,45516,47619,46785,47530,48448,1,1,1170000
3003,11066,1038,ทรีคอนโด สุขุมวิท 52,Tree Condo Sukhumvit 52,3,10,13.80448,100.5906,3,344,825000,U,2011,29,47222,42070,42948,44318,63177,42479,1,1,1170000
4690,6032,1005,เดอะ ริเวอร์,The River,3,10,13.88781,100.6013,3.2625,657,669000,U,2014,43,23447,22054,32598,28608,27760,26331,1,1,1190000
3978,7338,1018,แบงค์คอก ฮอไรซอน รามคำแหง 60,Bangkok Horizon Ramkhamhaeng 60,3,10,13.71053,100.5008,11,486,6400000,A,2013,100,102468,102504,110149,107945,119821,115169,1,2,1199978
2358,11066,1027,Kool Residence สุขุวิท 39-49,Kool Residence สุขุวิท 39-49,3,10,13.82382,100.6586,4.72,711,1190000,A,2011,28,46079,47544,47331,47608,45517,46993,1,1,1200000
3122,11066,1006,วิช แอท สามย่าน,Wish @Samyan,3,10,13.78906,100.6276,8.4275,712,950000,U,2012,22,42518,41400,44378,58624,61596,63362,1,1,1200000
4640,12971,1034,อมันตา ลุมพินี (Amanta Lumpini),Amanta Lumpini,3,10,13.70722,100.6346,13,1450,1239000,A,2014,23,56102,61640,60369,58883,56610,61474,1,1,1230000
2576,974,1030,เอท ทองหล่อ เรสซิเด้นส์,Eight Thonglor Residences,3,10,13.81666,100.5794,0.77,,1850000,U,2011,24,53889,52223,54049,57621,61193,64766,1,1,1249000
2086,4159,1025,ไดมอนด์ สุขุมวิท,Diamond Sukhumvit,3,10,13.80392,100.5119,16.5625,2033,,U,2011,28,52902,50833,48424,51008,48287,48879,1,1,1250000
2298,12971,1047,มาย รีสอร์ท แบงคอก อโศก-เพชรบุรีตัดใหม่,My Resort Bangkok,3,10,13.66118,100.6237,7.25,1028,1230000,U,2011,23,53187,51247,50293,52183,56111,54526,1,1,1250000
3182,16807,1017,ชีวาทัย ราชปรารภ,Chewathai Ratchaprarop,3,10,13.75233,100.5902,12,900,1420000,A,2012,26,50923,53398,51674,57004,52725,50028,1,1,1250000
3874,12971,1005,ศุภาลัย พรีเมียร์ รัชดาฯ-นราธิวาส-สาทร,Supalai Premier Ratchada-Narathivas-Sathron,3,10,13.85898,100.611,0,532,888000,U,2013,26,55765,57511,58865,59045,61371,64670,1,1,1250000
3907,12971,1005,สกายวอล์ค คอนโดมิเนียม,Skywalk Condominium,3,10,13.86255,100.6133,9.75,1039,1270000,U,2013,22,55769,57511,58865,59045,61371,64670,1,1,1280000
404,882,1033,เลอ ฌ็อง พรีเมียม (ลาดพร้าว 112-114),Le Champs Premium (Ladprao 112-114),3,10,13.70325,100.5909,0,77,2500000,A,2007,33,73361,69490,70352,70511,59158,62902,1,1,1290000
2556,6032,1005,เมโทร ลักซ์ รัชดา,Metro Luxe Ratchada,3,10,13.87757,100.5941,7.75,1358,975000,A,2011,30,33611,46627,47437,46344,43763,49264,1,1,1290000
2192,135559,1045,ทรี คอนโด สุขุมวิท 42,Tree Condo Sukhumvit 42,3,10,13.7878,100.6267,17.7875,901,2049000,A,2011,28,51524,52334,53102,60629,62270,59518,1,1,1300000
2612,11066,1006,ลุมพินี เพลส รามอินทรา-หลักสี่,Lumpini Place Ramindra-Laksi,3,10,13.76653,100.6492,4.0475,471,789900,U,2011,29.1,46425,48209,59753,47126,47368,51410,1,1,1300000
2865,16750,1032,ควอด สีลม,Quad Silom,3,10,13.72061,100.6682,1,,800000,U,2011,30,32209,35330,38121,36549,34976,33403,1,1,1300000
2986,9656,1034,ศุภาลัย ปาร์ค รัชโยธิน,Supalai Park,3,10,13.74042,100.6442,3.76,296,1450000,U,2011,28.03,48633,48327,54907,54401,53458,52515,1,1,1300000
3228,2486,1009,ซิตี้โฮม สุขุมวิท,City Home Sukhumvit,3,10,13.67841,100.6239,3.3025,336,1450000,A,2012,24,51950,52750,50703,53974,51264,52752,1,1,1300000
3620,16727,1009,แวนเทจ รัชวิภา,Vantage,3,10,13.68648,100.6353,4.9525,630,1200000,U,2012,28,38345,44137,46020,49810,58016,65640,1,1,1300000
2191,15631,1017,พรีมิโอ บูทิค คอนโด เอกมัย-รามอินทรา,,3,10,13.78374,100.5854,4.3275,500,3000000,A,2010,28,59194,55671,57530,60587,57497,48558,1,1,1320000
3260,818,1022,ชาโตว์ อินทาวน์ พหลโยธิน 11,Chateau in Town PHAHOLYOTHIN 11,3,10,13.70992,100.4292,4.155,404,2290000,U,2012,27,58642,62777,55675,57253,56152,62248,1,1,1320000
3893,6032,1005,แอ็บสแตร็กส์ สุขุมวิท 66/1,Abstracts Sukhumvit 66/1,3,10,13.88755,100.5999,0.5175,79,850000,A,2013,28.56,44785,52175,49583,45833,42685,40739,1,1,1320000
2575,6280,1030,เดอะ บลูม สุขุมวิท 71,The bloom Sukhumvit 71,3,10,13.81679,100.5875,2.185,154,1300000,U,2011,28,43475,46642,47749,47806,50565,59158,1,1,1350000
2605,5564,1009,เดอะ ลิงค์ วาโน 64,The Link Vano 64,3,10,13.68916,100.6023,1.52,210,999000,A,2011,31,47228,47104,50000,51613,46841,42406,1,1,1350000
3120,11913,1034,ซิตี้โฮม ศรีนครินทร์,CityHome Srinakarin,3,10,13.74774,100.6308,3.0775,654,960000,U,2012,29,52857,50994,48407,45815,47221,44908,1,1,1350000
3183,6032,1041,ดี คอนโด อ่อนนุช,DCONDO ONNUCH,3,10,13.877,100.5951,7.75,,975000,U,2012,32,42873,41473,41146,47651,45652,43585,1,1,1350000
4554,8528,1009,ไอดีโอ เวิร์ฟ ราชปรารภ,IDEO VERVE RATCHAPRAROP,3,10,13.68435,100.6148,7.0575,799,1490000,A,2014,30,64567,63511,59778,56695,63614,56388,1,1,1350000
2615,12971,1034,เมโทร สกาย สุขุมวิท,METRO SKY SUKHUMVIT,3,10,13.7365,100.617,16.215,1605,1410000,U,2011,22.5,64198,65221,65095,65820,65162,59876,1,1,1370000
2136,818,1027,ซิตี้โฮม รัชดา-ปิ่นเกล้า,City Home Ratchada-Pinklao,3,10,13.78242,100.6716,10.1,658,1590000,U,2011,30,56723,54625,59859,61139,58468,78144,1,1,1390000
2141,2895,1005,ซิตี้โฮม สี่แยกท่าพระ,City Home Tha-Phra,3,10,13.85313,100.6362,9.3725,,1250000,U,2010,30,54802,52928,51873,50278,50834,57288,1,1,1390000
2231,15733,1006,ไอริส แอเวนิว อ่อนนุช-วงแหวน,IRIS Avenue Onnuch-Wongwaen,3,10,13.75985,100.6508,0.77,91,1290000,U,2010,26.8,,,,,,,1,1,1390000
2621,138654,1036,เดอะ ทรัสต์ เรสซิเด้นซ์ ปิ่นเกล้า,THE TRUST Resident,3,10,13.88949,100.5769,4.35,482,1590000,U,2011,29,57171,59198,61224,63251,65236,65607,1,1,1390000
4213,8861,1021,ทัวร์มาลีน โกลด์ สาทร-ตากสิน,tourmaline gold,3,10,13.66908,100.4362,5.0175,,1490000,U,2013,25,61374,62195,68216,69226,66197,60872,1,1,1390000
2057,2895,1011,เดอะ เมเปิ้ล สาทร-นราธิวาส,The Maple,3,10,13.73036,100.6986,10.235,906,920000,U,2010,29.7,46535,62529,46000,44375,48546,61216,1,1,1400000
2584,6032,1017,ไอ คอนโด สุขาภิบาล 2,ICONDO SUKHAPIBAN 2,3,10,13.80179,100.5855,3.575,,899000,U,2011,31,47133,52059,51074,49532,46841,54134,1,1,1400000
2999,779,1006,ไอ คอนโด สุขุมวิท 105,ICONDO SUKHUMVIT 105,3,10,13.76806,100.6327,4.08,370,1650000,U,2011,30,49317,48066,54059,56408,53456,50519,1,1,1400000
3925,1831,1032,ดี คอนโด รามอินทรา,d condo,3,10,13.68264,100.7058,16,311,1400000,A,2013,23.79,32242,38355,45161,51469,50459,69097,1,1,1400000
2565,9661,1031,นิกซ์ บาย แสนสิริ,Nyx by Sansiri,3,10,13.69762,100.4957,0,400,1400000,A,2011,33.67,47795,48345,48895,49970,49567,41965,1,1,1450000
